brand,model,version,archetype,runhub_score,category_rank,score_ride,score_cushioning,score_weight,score_comfort_fit,score_durability,score_expert,value_rating,score_confidence,msrp_usd,image_url
Brooks,Glycerin Max,,max_cushion,42,17,2.6,6.0,1.9,3.3,5.0,3.3,Premium,high,200,https://cdn.runrepeat.com/storage/gallery/product_primary/40528/brooks-glycerin-max-22207984-720.jpg
Brooks,Ghost Max,2,max_cushion,41,18,4.8,2.5,1.9,9.4,5.0,2.2,Fair,high,150,https://cdn.runrepeat.com/storage/gallery/product_primary/40429/brooks-ghost-max-2-22166858-720.jpg
Saucony,Triumph,22,max_cushion,38,19,6.1,2.1,6.2,3.8,5.0,3.3,Premium,high,160,https://cdn.runrepeat.com/storage/gallery/product_primary/40254/saucony-triumph-22-21679523-720.jpg
Brooks,Glycerin,21,max_cushion,33,20,3.9,0.8,7.3,5.4,5.0,2.2,Premium,high,160,https://cdn.runrepeat.com/storage/gallery/product_primary/40266/brooks-glycerin-21-21493721-720.jpg
ASICS,Gel Nimbus,26,max_cushion,31,21,1.3,3.3,2.9,6.2,5.0,0.2,Premium,high,160,https://cdn.runrepeat.com/storage/gallery/product_primary/40253/asics-gel-nimbus-26-2-21258429-720.jpg
On,Cloudmonster,2,max_cushion,27,22,5.0,0.0,4.2,0.0,5.0,5.0,Premium,medium,180,
Brooks,Ghost Max 3,3,max_cushion,25,23,2.2,1.7,2.9,6.2,2.5,1.1,Premium,high,160,https://cdn.runrepeat.com/storage/gallery/product_primary/40935/brooks-ghost-max-3-23740532-720.jpg
ASICS,Gel Nimbus 25,25,max_cushion,23,24,0.4,1.2,5.6,4.2,5.0,0.2,Premium,high,160,https://cdn.runrepeat.com/storage/gallery/product_primary/39530/asics-gel-nimbus-25-21232027-720.jpg
Hoka,Bondi,8,max_cushion,18,25,1.7,0.4,0.4,2.9,5.0,1.1,Premium,high,165,https://cdn.runrepeat.com/storage/gallery/product_primary/38861/hoka-bondi-8-21232045-720.jpg
Saucony,Endorphin Speed,5,tempo,80,1,10.0,8.9,3.3,10.0,5.0,10.0,Great value,high,175,https://cdn.runrepeat.com/storage/gallery/product_primary/40830/saucony-endorphin-speed-5-23261039-720.jpg
Saucony,Endorphin Speed,4,tempo,55,2,5.0,7.8,4.4,8.9,5.0,5.0,Premium,high,170,https://cdn.runrepeat.com/storage/gallery/product_primary/40335/saucony-endorphin-speed-4-21350768-720.jpg
Adidas,Adizero SL,2,tempo,53,3,5.0,6.1,5.6,6.1,5.0,5.0,Great value,medium,130,
Brooks,Hyperion,2,tempo,52,4,5.0,0.0,10.0,2.2,5.0,5.0,Great value,medium,140,
Topo Athletic,Cyclone,3,tempo,51,5,5.0,1.1,8.9,2.2,5.0,5.0,Fair,medium,155,
New Balance,FuelCell Rebel,v5,tempo,50,6,5.0,4.4,6.7,2.2,5.0,5.0,Fair,medium,140,
Saucony,Kinvara,15,tempo,50,7,5.0,2.2,7.8,2.2,5.0,5.0,Fair,medium,140,
Adidas,Adizero Boston,13,tempo,47,8,5.0,6.1,2.2,6.1,5.0,5.0,Premium,medium,160,
Hoka,Mach X,2,tempo,46,9,5.0,10.0,1.1,2.2,5.0,5.0,Premium,medium,190,
Adidas,Adizero Boston,12,tempo,15,10,0.0,3.3,0.0,7.8,5.0,0.0,Premium,high,160,https://cdn.runrepeat.com/storage/gallery/product_primary/39959/adidas-adizero-boston-12-21158467-720.jpg
Brooks,Adrenaline GTS,24,stability,64,1,7.5,6.2,3.8,10.0,5.0,4.4,Great value,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/40538/brooks-adrenaline-gts-24-2-22723083-720.jpg
ASICS,Gel Kayano,32,stability,59,2,0.0,10.0,1.2,8.1,3.8,7.5,Great value,high,165,https://cdn.runrepeat.com/storage/gallery/product_primary/40809/asics-gel-kayano-32-23240127-720.jpg
Saucony,Tempus,2,stability,59,3,10.0,5.0,8.8,3.1,0.0,10.0,Great value,high,160,https://cdn.runrepeat.com/storage/gallery/product_primary/40521/saucony-tempus-2-24052511-720.jpg
Hoka,Arahi,8,stability,53,4,6.2,8.8,10.0,0.0,8.8,2.5,Fair,high,150,https://cdn.runrepeat.com/storage/gallery/product_primary/40854/hoka-arahi-8-23493841-720.jpg
ASICS,Gel Kayano,31,stability,50,5,1.2,7.5,1.2,5.0,5.0,7.5,Premium,high,165,https://cdn.runrepeat.com/storage/gallery/product_primary/40393/asics-gel-kayano-31-21691218-720.jpg
Saucony,Guide,17,stability,46,6,8.8,2.5,6.2,3.1,5.0,4.4,Fair,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/40313/saucony-guide-17-21392314-720.jpg
Brooks,Adrenaline GTS,25,stability,46,7,2.5,3.8,1.2,6.2,3.8,7.5,Fair,high,145,https://cdn.runrepeat.com/storage/gallery/product_primary/40955/brooks-adrenaline-gts-25-24879218-720.jpg
Brooks,Adrenaline GTS,23,stability,41,8,5.0,0.0,5.0,8.1,5.0,1.2,Premium,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/39680/brooks-adrenaline-gts-23-21189509-720.jpg
Hoka,Arahi,7,stability,32,9,3.8,1.2,7.5,1.2,8.8,0.0,Premium,high,145,https://cdn.runrepeat.com/storage/gallery/product_primary/40269/hoka-arahi-7-21372292-720.jpg
ASICS,Metaspeed Sky,Tokyo,carbon_racer,81,1,8.8,8.1,8.8,9.1,5.0,7.2,Great value,high,270,https://cdn.runrepeat.com/storage/gallery/product_primary/40812/asics-metaspeed-sky-tokyo-23429911-720.jpg
PUMA,Fast-R Nitro Elite,3,carbon_racer,77,2,9.7,7.5,7.2,6.2,5.0,7.2,Great value,high,300,https://cdn.runrepeat.com/storage/gallery/product_primary/40788/puma-fast-r-nitro-elite-3-23761980-720.jpg
Adidas,Adizero Adios Pro 4,4,carbon_racer,72,3,9.7,2.5,5.0,2.5,5.0,9.1,Great value,high,250,https://cdn.runrepeat.com/storage/gallery/product_primary/40584/adidas-adizero-adios-pro-4-22483965-720.jpg
Nike,Vaporfly 4,4,carbon_racer,69,4,8.1,1.2,8.1,5.6,5.0,7.2,Great value,high,260,https://cdn.runrepeat.com/storage/gallery/product_primary/40754/nike-vaporfly-4-22860848-720.jpg
Adidas,Adizero Adios Pro Evo 3,3,carbon_racer,63,5,6.9,6.2,10.0,0.3,5.0,4.7,Premium,high,500,https://cdn.runrepeat.com/storage/gallery/product_primary/41285/adidas-adizero-adios-pro-evo-3-24813691-720.jpg
Nike,Streakfly 2,2,carbon_racer,58,6,6.2,0.0,9.4,4.1,5.0,4.7,Great value,high,180,https://cdn.runrepeat.com/storage/gallery/product_primary/40695/nike-streakfly-2-22864143-720.jpg
Nike,Alphafly,3,carbon_racer,57,7,4.4,6.2,4.4,0.3,5.0,9.1,Fair,high,285,https://cdn.runrepeat.com/storage/gallery/product_primary/40255/nike-alphafly-3-2-21208136-720.jpg
ASICS,Megablast,,carbon_racer,57,8,2.5,10.0,1.9,6.9,5.0,10.0,Great value,high,225,https://cdn.runrepeat.com/storage/gallery/product_primary/40948/asics-megablast-23653319-720.jpg
PUMA,Deviate Nitro Elite,4,carbon_racer,53,9,7.5,3.8,7.2,4.1,5.0,2.5,Fair,high,250,https://cdn.runrepeat.com/storage/gallery/product_primary/41113/puma-deviate-nitro-elite-4-25009503-720.jpg
Nike,Vaporfly 3,3,carbon_racer,53,10,5.3,3.1,6.2,8.1,5.0,4.7,Fair,high,250,https://cdn.runrepeat.com/storage/gallery/product_primary/39647/nike-vaporfly-3-21212268-720.jpg
Adidas,Adizero Adios Pro 3,3,carbon_racer,50,11,5.3,5.0,1.9,4.1,5.0,7.2,Fair,high,250,https://cdn.runrepeat.com/storage/gallery/product_primary/38793/adidas-adizero-adios-pro-3-2-21158464-720.jpg
New Balance,FuelCell SuperComp Elite,v5,carbon_racer,40,12,3.8,8.8,5.6,7.5,5.0,0.9,Fair,high,265,https://cdn.runrepeat.com/storage/gallery/product_primary/40806/new-balance-fuel-cell-super-comp-elite-v-5-23658945-720.jpg
Saucony,Endorphin Pro,5,carbon_racer,31,13,1.9,1.9,3.1,1.6,5.0,4.7,Premium,high,225,https://cdn.runrepeat.com/storage/gallery/product_primary/41067/saucony-endorphin-pro-5-24665925-720.jpg
