slug,name,location,region,city,lat,lng,country,country_slug,url,day,time,distance,type
elarariparianparklands,Elara Riparian Parklands parkrun,Elara Riparian Parklands,New South Wales,Blackett,-33.693933,150.803885,Australia,australia,https://www.parkrun.com.au/elarariparianparklands/,Saturday,,5 km,parkrun
elliottheadsbeach,Elliott Heads Beach parkrun,Elliott Heads Beach,Queensland,Thabeban,-24.92193,152.491565,Australia,australia,https://www.parkrun.com.au/elliottheadsbeach/,Saturday,,5 km,parkrun
emeraldlake,Emerald Lake parkrun,Emerald Lake,Victoria,Emerald,-37.930268,145.458234,Australia,australia,https://www.parkrun.com.au/emeraldlake/,Saturday,,5 km,parkrun
emerald,Emerald parkrun,Botanical Gardens,Queensland,Emerald,-23.535317,148.165534,Australia,australia,https://www.parkrun.com.au/emerald/,Saturday,,5 km,parkrun
esperanceforeshore,Esperance Foreshore parkrun,Esperance Foreshore,Western Australia,Esperance,-33.863295,121.893784,Australia,australia,https://www.parkrun.com.au/esperanceforeshore/,Saturday,,5 km,parkrun
euroa,Euroa parkrun,Sevens Creek Park,Victoria,Shepparton,-36.752767,145.573825,Australia,australia,https://www.parkrun.com.au/euroa/,Saturday,,5 km,parkrun
fingalbay,Fingal Bay parkrun,Fingal Bay,New South Wales,Nelson Bay,-32.742887,152.170644,Australia,australia,https://www.parkrun.com.au/fingalbay/,Saturday,,5 km,parkrun
fodderforest,Fodder Forest parkrun,Fodder Forest,Queensland,Victoria Point,-27.583123,153.293958,Australia,australia,https://www.parkrun.com.au/fodderforest/,Saturday,,5 km,parkrun
forestlake,Forest Lake parkrun,Forest Lake Sports Fields,Queensland,Forest Lake,-27.61964,152.967745,Australia,australia,https://www.parkrun.com.au/forestlake/,Saturday,,5 km,parkrun
forster,Forster parkrun,Forster,New South Wales,Forster,-32.180174,152.519554,Australia,australia,https://www.parkrun.com.au/forster/,Saturday,,5 km,parkrun
frankkeenanreserve,Frank Keenan Reserve parkrun,Frank Keenan Reserve,New South Wales,Mulwala,-36.002211,146.02204,Australia,australia,https://www.parkrun.com.au/frankkeenanreserve/,Saturday,,5 km,parkrun
frankstonnatureconservationres,Frankston Nature Conservation Reserve parkrun,Frankston Nature Conservation Reserve,Victoria,Frankston South,-38.17212,145.12985,Australia,australia,https://www.parkrun.com.au/frankstonnatureconservationres/,Saturday,,5 km,parkrun
froghollow,Frog Hollow parkrun,David Collins Drive,Victoria,Endeavour Hills,-37.991559,145.273622,Australia,australia,https://www.parkrun.com.au/froghollow/,Saturday,,5 km,parkrun
gainsboroughparklands,Gainsborough Parklands parkrun,Gainsborough Parklands,Queensland,Ormeau Hills,-27.812345,153.299229,Australia,australia,https://www.parkrun.com.au/gainsboroughparklands/,Saturday,,5 km,parkrun
galston,Galston parkrun,Fagan Park,New South Wales,Galston,-33.642734,151.043648,Australia,australia,https://www.parkrun.com.au/galston/,Saturday,,5 km,parkrun
galupreserve,Galup Reserve parkrun,Galup Reserve,Western Australia,West Leederville,-31.925038,115.821468,Australia,australia,https://www.parkrun.com.au/galupreserve/,Saturday,,5 km,parkrun
gardinerscreek,Gardiners Creek parkrun,Gardiners Creek Reserve,Victoria,Burwood,-37.845344,145.114787,Australia,australia,https://www.parkrun.com.au/gardinerscreek/,Saturday,,5 km,parkrun
garveypark,Garvey Park parkrun,Garvey Park,Western Australia,Bassendean,-31.922558,115.941181,Australia,australia,https://www.parkrun.com.au/garveypark/,Saturday,,5 km,parkrun
gatton,Gatton parkrun,Lake Apex,Queensland,Gatton,-27.570426,152.270476,Australia,australia,https://www.parkrun.com.au/gatton/,Saturday,,5 km,parkrun
gawler,Gawler parkrun,Clonlea Reserve,South Australia,Willaston,-34.590841,138.750027,Australia,australia,https://www.parkrun.com.au/gawler/,Saturday,,5 km,parkrun
